Código;Descrição;Tipo;Natureza;Sinal;Sintética / Analítica;Materiais;Pagamentos;Recebimentos;Conta Ativa?
4.1.2.12.0002;Cofins;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.12.0003;ITR;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.12.0004;IRPJ;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.12.0005;CSLL;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.12.0006;Simples Nacional;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.13.0000;CUSTOS PECUARIOS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.1.2.13.0001;Aquisicao de Bovinos;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.13.0002;Aquisicao de Aves;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.13.0003;Aquisicao de Suinos;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.13.0004;Medicamentos Veterinarios;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.14.0000;GASTOS COM TERCEIROS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.1.2.14.0001;Terceiros - Transporte de Cana;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.14.0002;Terceiros - Plantio;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.14.0003;Terceiros - Corte;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.15.0000;DESPESAS DE CONSORCIOS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.1.2.15.0001;Despesa com consorcios;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.16.0000;PRO LABORE;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.1.2.16.0001;Despesa com pro labore;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.1.2.17.0000;ABATIMENTOS - USINA;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.1.2.18.0000;DEPRECIACOES;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.1.2.19.0000;DESPESAS ATIVIDADE CANA;Despesa;Resultado;Débito;Sintética;Não;Não;Não;S
4.1.2.19.0001;Compra de Muda Cana de Açucar;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.0.00.0000;DESPESAS NAO OPERACIONAIS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.2.1.00.0000;DESPESAS NAO OPERACIONAIS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.2.1.01.0000;DESPESAS FINANCEIRAS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.2.1.01.0001;Tarifas Bancarias;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0002;Juros de boleto;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0003;Juros Pagamentos em atraso;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0004;Taxas Cartorrias por atraso;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0005;Juros de Parcelamentos;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0006;Juros de Emprestimos;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0007;Juros de Financiamentos;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0008;Taxa por Antecipacao de Credito;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0009;Descontos Concedidos;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.01.0010;Pagamento de compra de veículos financiados;Despesa;Resultado;Débito;Analítica;Não;Sim;Não;S
4.2.1.02.0000;MULTAS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.2.1.02.0001;Multas de Boleto;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.02.0002;Multas Ambientais;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.02.0003;Multas - TAC;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.02.0004;Multas de Transito;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.02.0005;TAC Emprestimos;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
4.2.1.04.0000;DESCONTOS - USINA;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.2.1.05.0000;CUSTO DAS MERCADORIAS VENDIDAS;Despesa;Resultado;Débito;Sintética;Sim;Sim;Não;S
4.2.1.05.0001;Custo das Mercadorias Vendidas em estoque;Despesa;Resultado;Débito;Analítica;Sim;Sim;Não;S
6.0.0.00.0000;TRANSITORIA;Patrimonial;;Débito;Sintética;Sim;Sim;Não;S
6.1.0.00.0000;TRANSITORIA;Patrimonial;;Débito;Sintética;Sim;Sim;Não;S
6.1.1.00.0000;TRANSITORIA;Patrimonial;;Débito;Sintética;Sim;Sim;Não;S
6.1.1.01.0000;TRANSITORIA;Patrimonial;;Débito;Sintética;Sim;Sim;Não;S
6.1.1.01.0001;Transitoria de Emprestimos;Patrimonial;;Débito;Analítica;Sim;Sim;Não;S
6.1.1.01.0002;Ajuste do Exercicio Anterior;Patrimonial;Ativo;Débito;Analítica;Sim;Sim;Sim;S
6.1.1.01.0003;Transitoria - Devolucao;Patrimonial;;Débito;Analítica;Sim;Sim;Não;S
6.1.1.01.0004;Transitoria - Recebimentos e Pagamentos;Patrimonial;;Débito;Analítica;Sim;Sim;Não;S
6.1.1.01.0005;Transferencia Diesel;Patrimonial;;Débito;Analítica;Sim;Sim;Não;S
6.1.1.01.0006;Transitoria do Banco;Patrimonial;;Débito;Analítica;Sim;Sim;Não;S
6.1.1.01.0007;Ajuste do Exerc?cio Anterior;Patrimonial;;Débito;Analítica;Sim;Sim;Não;S
6.1.1.01.0008;Transit?ria de Baixas em Lote;Patrimonial;;Débito;Analítica;Sim;Sim;Não;S
6.1.1.01.0009;Ajuste de empréstimo;Patrimonial;Ativo;Débito;Analítica;Não;Sim;Sim;S
